Group Name,Group ID,Photo ID,Commenting User,Commenting time,Full Text of Comment,Order of Comment
beautifulcapture,347276@N23,8701355314,ivlys,2013-05-02 01:15:17,"Great composition, good title!",1
beautifulcapture,347276@N23,8701355314,Daniel Mennerich,2013-05-02 01:29:59,"Chapeau!

<a href=""http://www.flickr.com/groups/tlps/""><img src=""http://farm4.static.flickr.com/3191/2602016608_f8bf509c84_m.jpg"" width=""240"" height=""142"" alt=""I TAKE MY HAT OFF"" /></a>
<a href=""http://www.flickr.com/groups/tlps/"">PLEASE JOIN US, IF YOU HAVE NOT DONE SO!!!</a>",2
beautifulcapture,347276@N23,8701355314,Pantchoa,2013-05-02 01:32:12,"<a href=""http://www.flickr.com/groups/tlps/""><img src=""http://farm4.static.flickr.com/3191/2602016608_f8bf509c84_m.jpg"" width=""240"" height=""142"" alt=""I TAKE MY HAT OFF"" /></a>
 <a href=""http://www.flickr.com/groups/tlps/"">Please join us, if you have not done so!!!</a>",3
beautifulcapture,347276@N23,8701355314,TOMKLAUSZ.tk,2013-05-02 01:48:28,"<a href=""http://www.flickr.com/groups/tlps/""><img src=""http://farm4.static.flickr.com/3191/2602016608_f8bf509c84_m.jpg"" width=""240"" height=""142"" alt=""I TAKE MY HAT OFF"" /></a>
<a href=""http://www.flickr.com/groups/tlps/"">Please join us, if you have not done so!!!</a>",4
beautifulcapture,347276@N23,8701355314,IoanBacivarov,2013-05-02 02:06:37,"<a href=""http://www.flickr.com/groups/tlps/""><img src=""http://farm4.static.flickr.com/3191/2602016608_f8bf509c84_m.jpg"" width=""240"" height=""142"" alt=""I TAKE MY HAT OFF"" /></a>
<a href=""http://www.flickr.com/groups/tlps/"">Please join us, if you have not done so!!!</a>",5
beautifulcapture,347276@N23,8701355314,stalephoto,2013-05-02 03:03:44,"<a href=""http://www.flickr.com/groups/tlps/""><img src=""http://farm4.static.flickr.com/3191/2602016608_f8bf509c84_m.jpg"" width=""240"" height=""142"" alt=""I TAKE MY HAT OFF"" /></a>
<a href=""http://www.flickr.com/groups/tlps/"">Please join us, if you have not done so!!!</a>",6
beautifulcapture,347276@N23,8701355314,jcc55883,2013-05-02 05:09:40,Beyond words! One of your absolute best!,7
beautifulcapture,347276@N23,8701355314,victor.micoud,2013-05-02 05:57:10,"<b>Seen in the Exemplary Shots - Flickr's BEST GROUP
<a href=""http://www.flickr.com/photos/exemplaryphotos/468651131/""><img src=""http://farm1.static.flickr.com/231/468651131_05686fb2a0_t.jpg"" width=""100"" height=""68"" alt=""Exemplary Shot"" /></a>

<a href=""http://www.flickr.com/groups/exemplaryshots"">Exemplary Shots - Flickr's BEST (Post 1 Award 3)</a></b>",8
beautifulcapture,347276@N23,8701355314,Samira Liliane de Freitas,2013-05-02 07:19:27,Muito interessante!,9
beautifulcapture,347276@N23,8701355314,fang99,2013-05-02 09:13:39,Congratulation ! Brilliantly done.,10
beautifulcapture,347276@N23,8701355314,Texas Prairiedog,2013-05-10 12:48:42,"<a href=""http://www.flickr.com/groups/1532663@N20/"">
<img src=""http://farm9.staticflickr.com/8352/8253865686_045fdd1b78_o.jpg"" width=""250"" height=""53"" alt=""fga"" /></a>
Seen in: <a href=""http://www.flickr.com/groups/1532663@N20/"">Fine Gold</a> Post 1 and Award 5 others",11
beautifulcapture,347276@N23,8701355314,Insher,2013-05-10 12:51:56,"This photo took my BREATH away
<a href=""http://www.flickr.com/groups/breath_taking/""><img src=""http://farm2.static.flickr.com/1395/540535383_13bd17ad4c_t.jpg"" /></a>
<a href=""http://www.flickr.com/groups/breath_taking/"">BREATHTAKING</a>
&quot;collect 5 Green Breathtaking Awards to get a Gold Award&quot;",12
