Group Name,Group ID,Photo ID,Order in Group,Photo Title,Username,Time Uploaded to Flickr,Time Added to Group,First Four Tags,Number of Views,Number of Faves,User ID,User Total Number of Photos,Pro Membership,Earliest Activity on Flickr,Date Joined Flickr,Number of Contacts,Location
beautifulcapture,347276@N23,8919110630,1,Dragonfly,FrauleinHauteclocque,2013-06-01 20:56:41,2013-06-03 17:43:49,[],4,0,89562166@N03,84,0,2013-01-13 19:33:24,2012-11-02 15:00:49,21,
beautifulcapture,347276@N23,8929357577,2,,~Deathbychocolate~,2013-06-02 17:57:36,2013-06-03 17:43:35,[],7,1,51539678@N04,391,1,2010-06-27 07:16:58,2010-06-27 07:12:56,117,
beautifulcapture,347276@N23,8937661545,3,Richmond Park 161011,Liz Callan Photography trying to catch up,2013-06-03 11:32:17,2013-06-03 17:41:35,"[richmond, park]",2,0,43956756@N08,16777,1,2009-10-23 06:34:48,2009-10-23 06:27:39,136,"Telford, England"
beautifulcapture,347276@N23,8941487147,4,Battlersgreen Watford,harold.whatever,2013-06-03 17:37:51,2013-06-03 17:40:05,[],4,0,8067061@N06,822,1,2007-11-30 09:31:44,2007-04-30 05:40:28,81,
beautifulcapture,347276@N23,8863791510,5,Macro,Elimnio,2013-05-28 01:07:51,2013-06-03 17:39:18,[],3,1,49674477@N08,40,0,2013-02-05 03:04:38,2010-04-25 15:21:08,6,Vienna
beautifulcapture,347276@N23,8934180330,6,Burgtheater Vienna,Elimnio,2013-06-03 03:00:17,2013-06-03 17:39:12,[],0,0,49674477@N08,40,0,2013-02-05 03:04:38,2010-04-25 15:21:08,6,Vienna
beautifulcapture,347276@N23,8941453741,7,,Dom Read,2013-06-03 17:39:07,2013-06-03 17:39:11,[],2,0,79647614@N08,168,1,2012-04-28 15:45:48,2012-04-28 15:31:34,189,UK
beautifulcapture,347276@N23,8942050636,8,a kind of party,a n a ♥,2013-06-03 17:39:06,2013-06-03 17:39:08,"[seagulls, bay, harbor, boat]",1,0,34328667@N00,915,0,2007-02-01 03:46:57,2007-02-01 03:40:57,1958,
beautifulcapture,347276@N23,8906723759,9,,Warmstate13,2013-05-31 19:11:55,2013-06-03 17:35:07,[],50,5,92955641@N06,245,1,2013-02-05 20:01:49,2013-02-05 19:52:33,83,"Tamarac, USA"
beautifulcapture,347276@N23,8934184537,10,,Warmstate13,2013-06-03 04:30:56,2013-06-03 17:35:07,[],4,0,92955641@N06,245,1,2013-02-05 20:01:49,2013-02-05 19:52:33,83,"Tamarac, USA"
beautifulcapture,347276@N23,8941511990,11,Through the fields of Alentejo XVIII,Pedro NC,2013-06-03 16:33:32,2013-06-03 17:33:26,[],0,0,12962905@N05,3963,1,2007-09-08 04:40:48,2007-09-08 04:40:00,63,"Maia (Porto), Portugal"
beautifulcapture,347276@N23,8941440487,12,Sheep,J_Q_H,2013-06-03 17:32:07,2013-06-03 17:32:12,"[sheep, canon, 1dx, scotland]",0,1,54849121@N08,541,1,2010-10-12 16:27:29,2010-10-12 16:26:08,515,"Manchester, England"
beautifulcapture,347276@N23,2969946839,13,Rome in a Rain Puddle,moonjazz,2013-06-03 12:00:00,2013-06-03 17:31:44,"[rome, rain, puddle, cobblestone]",3027,124,8398907@N02,2162,1,2005-09-09 02:49:13,2007-05-20 21:01:07,5830,"San DIego, USA"
beautifulcapture,347276@N23,8941646424,14,152 of 365 - Merry Go Round,fearghal breathnach,2013-06-03 16:46:01,2013-06-03 17:31:36,"[365, blackwhite, monochrome, portrait]",17,0,19312459@N00,1641,1,2009-06-27 03:41:49,2005-11-09 05:36:33,54,"Greystones, Ireland"
beautifulcapture,347276@N23,8941981688,15,Alnwick Castle,Bluesman1986,2013-06-03 17:30:53,2013-06-03 17:30:57,"[northumberland, alnwickcastle, alnwicknorthumberland, castle]",11,0,80268039@N06,195,1,2012-06-14 14:52:58,2012-06-13 15:16:25,23,
beautifulcapture,347276@N23,8941557926,16,Carrusel del Obispado,Beto Mireles,2013-06-03 16:36:42,2013-06-03 17:30:41,"[betomireles, fotogerus, monterrey, landscape]",1,0,14730415@N02,134,0,2008-11-21 00:44:25,2007-10-08 14:12:46,55,
beautifulcapture,347276@N23,8941958444,17,Abandoned Hospital - The Clinic E. (4),janbommes,2013-06-03 17:23:26,2013-06-03 17:29:29,"[abandoned, derelict, derelictbuilding, hospital]",1,0,30036111@N04,1776,1,2008-08-30 08:08:11,2008-08-30 07:35:53,80,"Kiel, Germany"
beautifulcapture,347276@N23,8941953780,18,Abandoned Hospital - The Clinic E. (9),janbommes,2013-06-03 17:23:29,2013-06-03 17:29:28,"[abandoned, derelict, derelictbuilding, hospital]",3,1,30036111@N04,1776,1,2008-08-30 08:08:11,2008-08-30 07:35:53,80,"Kiel, Germany"
beautifulcapture,347276@N23,7266531146,19,"Special Protection Area (SPA) Castro Verde in Baixo Alentejo, Portugal - May 2012",SaffyH - wont renew pro account now!,2012-05-25 03:32:20,2013-06-03 17:28:11,[],464,3,66909027@N00,2814,1,2006-11-28 16:25:00,2006-01-26 17:23:43,1460,England
beautifulcapture,347276@N23,8941294741,20,Richard Park 161011,Liz Callan Photography trying to catch up,2013-06-03 17:15:44,2013-06-03 17:26:13,"[richard, park, 161011]",2,0,43956756@N08,16777,1,2009-10-23 06:34:48,2009-10-23 06:27:39,136,"Telford, England"
beautifulcapture,347276@N23,8754208942,21,,benandjasmin,2013-05-19 08:33:39,2013-06-03 17:26:09,[],8,0,23772862@N06,655,1,2008-02-13 16:38:32,2008-02-13 14:49:57,2,
beautifulcapture,347276@N23,8918094900,22,,benandjasmin,2013-06-01 18:36:50,2013-06-03 17:26:08,"[dof, bokeh, strawberries, canon]",1,0,23772862@N06,655,1,2008-02-13 16:38:32,2008-02-13 14:49:57,2,
beautifulcapture,347276@N23,8941020957,23,151 of 365 - Thirteen Second Me,fearghal breathnach,2013-06-03 16:45:25,2013-06-03 17:22:20,"[365, blackwhite, monochrome, portrait]",9,0,19312459@N00,1641,1,2009-06-27 03:41:49,2005-11-09 05:36:33,54,"Greystones, Ireland"
beautifulcapture,347276@N23,8941291029,24,Skärfläcka - Recurvirostra avosetta - Pied Avocet,stenaake,2013-06-03 17:15:15,2013-06-03 17:22:10,"[sk\xc3\xa4rfl\xc3\xa4cka, recurvirostraavosetta, piedavocet, bird]",2,1,57848406@N04,2676,1,2011-01-04 15:00:15,2011-01-03 16:37:15,178,"Stockholm, Sweden"
beautifulcapture,347276@N23,8941326419,25,peregrine flying over Malham Cove_filtered,nye.whittaker,2013-06-03 17:19:56,2013-06-03 17:19:59,[],28,1,31125545@N04,771,1,2008-10-05 14:26:17,2008-10-05 14:18:28,69,
beautifulcapture,347276@N23,8941863656,26,,gabhai,2013-06-03 17:18:54,2013-06-03 17:19:10,"[girl, bike, antique, vintage]",5,0,68179468@N04,105,0,2011-10-02 13:10:34,2011-10-01 21:06:41,226,
beautifulcapture,347276@N23,8941878082,27,,gabhai,2013-06-03 17:18:56,2013-06-03 17:19:10,"[bokeh, sun, sunflare, pretty]",6,0,68179468@N04,105,0,2011-10-02 13:10:34,2011-10-01 21:06:41,226,
beautifulcapture,347276@N23,8941910140,28,Big Foot,A. Lubrano,2013-06-03 17:15:50,2013-06-03 17:18:54,"[big, foot, grande, piede]",7,1,60905837@N05,110,0,2011-03-22 19:10:19,2011-03-22 18:59:40,944,"Roma, Italia"
