Group Name,Group ID,Photo ID,Order in Group,Photo Title,Username,Time Uploaded to Flickr,Time Added to Group,First Four Tags,Number of Views,Number of Faves,User ID,User Total Number of Photos,Pro Membership,Earliest Activity on Flickr,Date Joined Flickr,Number of Contacts,Location
beautifulcapture,347276@N23,8933238656,1,"Chinese Village Side Street, Jiaonan, Shandong Province",KelSquire.GlobeCaptures,2013-06-03 00:32:03,2013-06-03 00:42:33,[],0,0,41919531@N07,1376,1,2009-08-29 09:07:23,2009-08-28 02:02:41,14,"Qingdao, China"
beautifulcapture,347276@N23,8747622506,2,_DSC1479,C.BOS,2013-05-17 07:04:17,2013-06-03 00:42:05,[],5,1,41064329@N07,766,1,2011-05-21 04:10:39,2009-08-02 09:59:12,2,HK  island
beautifulcapture,347276@N23,8701355314,3,Time Flies,Feng Wei Photography,2013-05-02 00:56:29,2013-06-03 00:41:29,"[asia, bagmati, durbarsquare, kathmandu]",133,25,27728955@N04,3075,1,2010-12-19 21:31:46,2008-06-16 23:11:43,182,"Shanghai, China"
beautifulcapture,347276@N23,8932605311,4,Perry Rhodan Band 2350,Fotoamateur62,2013-06-03 00:29:30,2013-06-03 00:40:17,"[canon, canon60d, deutschland, fantasticadventures]",19,0,63824325@N04,1607,1,2011-06-08 03:15:10,2011-06-08 02:59:06,37,
beautifulcapture,347276@N23,8927167607,5,Can I play with you?,irda.lloticas,2013-06-02 14:09:53,2013-06-03 00:37:54,"[fujifilm, finepix, hs30exr]",1,1,80037792@N03,195,0,2012-08-01 12:54:53,2012-06-04 14:49:57,33,España
beautifulcapture,347276@N23,8927743746,6,Dogs world,irda.lloticas,2013-06-02 14:09:54,2013-06-03 00:37:53,"[fujifilm, finepix, hs30exr]",1,0,80037792@N03,195,0,2012-08-01 12:54:53,2012-06-04 14:49:57,33,España
beautifulcapture,347276@N23,8933272836,7,Morning Coffee,adelkod,2013-06-03 00:36:57,2013-06-03 00:37:07,"[antique, camera, old, stilllife]",0,0,52653866@N03,78,0,2012-04-01 02:47:14,2010-08-03 07:47:10,61,
beautifulcapture,347276@N23,7037412063,8,traditional KHasi dress,Under Konstruction,2012-04-01 21:59:46,2013-06-03 00:34:13,[],225,0,9985250@N07,180,1,2010-08-22 07:30:16,2007-07-12 03:30:37,297,"dhaka, Bangladesh"
beautifulcapture,347276@N23,7564061722,9,four of me? i think one is enough,Ewald Photography,2012-07-13 15:44:34,2013-06-03 00:33:55,"[nikon, d5100, wwwewaldphotographytk, ewald]",887,55,39150285@N03,654,1,2009-06-20 08:43:13,2009-06-05 15:15:06,10163,"Timisoara, Romania"
beautifulcapture,347276@N23,8933196260,10,Overlooking the JFK Memorial Bridge,Christian Stogner www.hdrphotography.net,2013-06-03 00:28:31,2013-06-03 00:28:37,"[jfk, jfkmemorialbridge, louisville, kentucky]",12,0,93588239@N02,10,0,2013-05-20 23:22:46,2013-02-26 17:26:51,34,"Louisville, KY, USA"
beautifulcapture,347276@N23,8932450935,11,Oakland Cemetary,Mark Chandler Photography,2013-06-03 00:25:04,2013-06-03 00:25:37,"[oaklandcemetary, atlanta, atl, ga]",2,0,65451028@N00,1441,1,2009-04-09 02:01:47,2006-05-25 23:18:21,484,USA
beautifulcapture,347276@N23,8918240604,12,Live Freely ①,( ´_ゝ`) Sho,2013-06-02 04:52:03,2013-06-03 00:24:21,"[\xe6\x97\xa5\xe6\x9c\xac, \xe4\xb8\x8e\xe8\xab\x96\xe5\xb3\xb6, \xe5\xaf\xba\xe5\xb4\x8e\xe6\xb5\xb7\xe5\xb2\xb8, \xe3\x82\x81\xe3\x81\x8c\xe3\x81\xad]",19,5,25755139@N05,977,1,2008-05-16 15:44:08,2008-04-17 20:48:42,530,"Taipei, Taiwan"
beautifulcapture,347276@N23,8917763341,13,Live Freely ②,( ´_ゝ`) Sho,2013-06-02 04:52:32,2013-06-03 00:24:20,"[\xe6\x97\xa5\xe6\x9c\xac, \xe6\xb2\x96\xe7\xb8\x84, \xe6\xb8\xa1\xe5\x98\x89\xe6\x95\xb7\xe5\xb3\xb6, \xe7\x90\x89\xe7\x90\x83]",21,3,25755139@N05,977,1,2008-05-16 15:44:08,2008-04-17 20:48:42,530,"Taipei, Taiwan"
beautifulcapture,347276@N23,8921201011,14,,Eva Eugenio,2013-06-02 03:33:06,2013-06-03 00:22:45,[],7,6,54274820@N07,91,1,2011-03-27 04:01:17,2010-09-26 05:57:31,1006,
beautifulcapture,347276@N23,8932530185,15,Road to the Sun,Karen McDonald,2013-06-03 00:20:19,2013-06-03 00:20:20,"[road, sun, rise, east]",4,0,75766582@N03,178,1,2012-03-24 04:02:38,2012-03-04 14:01:38,39,"Edinburgh, Scotland"
beautifulcapture,347276@N23,8874067095,16,<<Autumn Road>>,JerryBay,2013-05-28 22:35:23,2013-06-03 00:19:06,"[me2youphotographylevel1, hasselblad201f, carlzeiss110mmf2tlens, kodakportra160vc]",879,120,66459735@N06,1184,1,2011-09-07 05:12:48,2011-08-16 00:28:24,774,"Sydney, Australia"
beautifulcapture,347276@N23,8921584435,17,130531 Marcia-3,Marco de Waal,2013-06-02 04:26:24,2013-06-03 00:18:55,"[girl, hot, marcia, model]",40,17,23923009@N08,4566,1,2008-02-17 13:03:26,2008-02-17 04:43:46,5655,
beautifulcapture,347276@N23,8932987532,18,IMGP3121,MattB.net,2013-06-02 23:54:59,2013-06-03 00:17:40,"[independencepass, camping, campfire, music]",5,0,20816374@N04,3041,1,2010-01-03 17:03:34,2007-11-14 15:59:40,174,"Gunnison, Co, USA"
beautifulcapture,347276@N23,8882875027,19,[La Mia Città],Urca,2013-06-03 00:13:00,2013-06-03 00:15:49,"[milano, italia, 2013, holga]",0,0,16403346@N00,7232,1,2006-11-08 11:32:59,2006-10-24 07:59:54,625,
beautifulcapture,347276@N23,8932474653,20,Ciguë,Stéphane GRASSET,2013-06-03 00:10:21,2013-06-03 00:14:27,"[133365, flickr, fleur, nature]",7,1,90459035@N06,207,1,2012-11-25 06:55:30,2012-11-25 05:15:06,389,"Albertville - Savoie, France"
beautifulcapture,347276@N23,8753765661,21,尼泊爾‧印象0037-19-3.jpg,ZEROZLIN,2013-05-19 12:41:17,2013-06-03 00:12:36,[],16,0,12573438@N06,2972,1,2007-09-02 11:12:54,2007-09-02 10:14:12,8,TAIWAN
